ID	description	additional_image_link	condition	gtin	mpn	custom_label_2	image_link	title	custom_label_0	item_group_id	google_product_category	product_type	link	price	availability	identifier_exists
7796	"Зверніть увагу на товщину стінки профілю. Недобросовісні виробники вказують товщину 0,75 мм, а в дійсності використовують профіль товщиною 0,5 мм. Каркас наших теплиць зроблений з профілю з товщиною стінки 0,75 мм. При отриманні теплиці переміряйте товщину стінки профілю.
Вартість каркасу 2х3 м без плівки — 2 200 грн. Теплиця «Омега» з посиленим каркасом комплектується плівкою з УФ-захистом товщиною 120 мкм. Ширина каркаса — 2 м, довжина — 3 м, висота — 2 м. Вікна та двері є на обох сторонах теплиці, що забезпечує її максимальне провітрювання.
Посилений каркас теплиці з кроком 0,6 м витримує снігове навантаження до 40 кг/м кв., вітрову — 30 кг/м кв. Це дозволяє використовувати конструкцію для цілорічного вирощування тепличних культур.
"	https://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-2x4-stal-ocynk-002.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-2x4-stal-ocynk-003.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-2x4-stal-ocynk-004.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-2x4-stal-ocynk-007.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-2x4-stal-ocynk-008.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-2x4-stal-ocynk-009.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-2x4-stal-ocynk-011.jpg	new	7796	7796	"Теплиці «Омега» з плівкою > Теплиці з плівкою"	https://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-2x4-stal-ocynk-022.png	"Теплиця «Омега» 2x3x2 з оцинкованого омега профілю з плівкою 120 мкм"		7796	"Home & Garden > Lawn & Garden > Gardening > Greenhouses"	"Теплиці «Омега» з плівкою > Теплиці з плівкою"	https://fabrika-teplic.com/ua/vitrina/teplyczya-omega-2x3x2-z-oczynkovanogo-omega-profilyu-z-plivkoyu-120-mkm/	"2500 UAH"	"in stock"	no
7840	"Зверніть увагу на товщину стінки профілю. Недобросовісні виробники вказують товщину 0,75 мм, а в дійсності використовують профіль товщиною 0,5 мм. Каркас наших теплиць зроблений з профілю з товщиною стінки 0,75 мм. При отриманні теплиці переміряйте товщину стінки профілю.
Вартість каркасу 3х6 м без плівки — 3 600 грн. Теплиця «Омега» з посиленим каркасом комплектується плівкою з УФ-захистом товщиною 150 мкм. Ширина каркаса — 3 м, довжина — 6 м, висота — 2 м. Вікна та двері є на обох сторонах теплиці, що забезпечує її максимальне провітрювання.
Посилений каркас теплиці з кроком 0,6 м витримує снігове навантаження до 40 кг/м кв., вітрову — 30 кг/м кв. Це дозволяє використовувати конструкцію для цілорічного вирощування тепличних культур.
"	https://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-002.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-003.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-004.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-005.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-006.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-007.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-008.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-009.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-010.jpg	new	7840	7840	"Теплиці «Омега» з плівкою > Теплиці з плівкою"	https://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-020.png	"Теплиця «Омега» 3x6x2 з оцинкованого омега профілю з плівкою 150 мкм"		7840	"Home & Garden > Lawn & Garden > Gardening > Greenhouses"	"Теплиці «Омега» з плівкою > Теплиці з плівкою"	https://fabrika-teplic.com/ua/vitrina/teplyczya-omega-3x6x2-z-oczynkovanogo-omega-profilyu-z-plivkoyu-150-mkm/	"4500 UAH"	"in stock"	no
7841	"Зверніть увагу на товщину стінки профілю. Недобросовісні виробники вказують товщину 0,75 мм, а в дійсності використовують профіль товщиною 0,5 мм. Каркас наших теплиць зроблений з профілю з товщиною стінки 0,75 мм. При отриманні теплиці переміряйте товщину стінки профілю.
Вартість каркасу 3х4 м без плівки — 2 950 грн. Теплиця «Омега» з посиленим каркасом комплектується плівкою з УФ-захистом товщиною 120 мкм. Ширина каркаса — 3 м, довжина — 4 м, висота — 2 м. Вікна та двері є на обох сторонах теплиці, що забезпечує її максимальне провітрювання.
Посилений каркас теплиці з кроком 0,6 м витримує снігове навантаження до 40 кг/м кв., вітрову — 30 кг/м кв. Це дозволяє використовувати конструкцію для цілорічного вирощування тепличних культур.
"	https://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-002.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-003.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-004.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-005.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-006.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-007.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-008.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-009.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-010.jpg	new	7841	7841	"Теплиці «Омега» з плівкою > Теплиці з плівкою"	https://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-020.png	"Теплиця «Омега» 3x4x2 з оцинкованого омега профілю з плівкою 120 мкм"		7841	"Home & Garden > Lawn & Garden > Gardening > Greenhouses"	"Теплиці «Омега» з плівкою > Теплиці з плівкою"	https://fabrika-teplic.com/ua/vitrina/teplyczya-omega-3x4x2-z-oczynkovanogo-omega-profilyu-z-plivkoyu-120-mkm/	"3300 UAH"	"in stock"	no
7842	"Зверніть увагу на товщину стінки профілю. Недобросовісні виробники вказують товщину 0,75 мм, а в дійсності використовують профіль товщиною 0,5 мм. Каркас наших теплиць зроблений з профілю з товщиною стінки 0,75 мм. При отриманні теплиці переміряйте товщину стінки профілю.
Вартість каркасу 3х4 м без плівки — 2 950 грн. Теплиця «Омега» з посиленим каркасом комплектується плівкою з УФ-захистом товщиною 150 мкм. Ширина каркаса — 3 м, довжина — 4 м, висота — 2 м. Вікна та двері є на обох сторонах теплиці, що забезпечує її максимальне провітрювання.
Посилений каркас теплиці з кроком 0,6 м витримує снігове навантаження до 40 кг/м кв., вітрову — 30 кг/м кв. Це дозволяє використовувати конструкцію для цілорічного вирощування тепличних культур.
"	https://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-002.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-003.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-004.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-005.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-006.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-007.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-008.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-009.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-010.jpg	new	7842	7842	"Теплиці «Омега» з плівкою > Теплиці з плівкою"	https://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-020.png	"Теплиця «Омега» 3x4x2 з оцинкованого омега профілю з плівкою 150 мкм"		7842	"Home & Garden > Lawn & Garden > Gardening > Greenhouses"	"Теплиці «Омега» з плівкою > Теплиці з плівкою"	https://fabrika-teplic.com/ua/vitrina/teplyczya-omega-3x4x2-z-oczynkovanogo-omega-profilyu-z-plivkoyu-150-mkm/	"3500 UAH"	"in stock"	no
7845	"Зверніть увагу на товщину стінки профілю. Недобросовісні виробники вказують товщину 0,75 мм, а в дійсності використовують профіль товщиною 0,5 мм. Каркас наших теплиць зроблений з профілю з товщиною стінки 0,75 мм. При отриманні теплиці переміряйте товщину стінки профілю.
Вартість каркасу 3х8 м без плівки — 4 500 грн. Теплиця «Омега» з посиленим каркасом комплектується плівкою з УФ-захистом товщиною 120 мкм. Ширина каркаса — 3 м, довжина — 8 м, висота — 2 м. Вікна та двері є на обох сторонах теплиці, що забезпечує її максимальне провітрювання.
Посилений каркас теплиці з кроком 0,6 м витримує снігове навантаження до 40 кг/м кв., вітрову — 30 кг/м кв. Це дозволяє використовувати конструкцію для цілорічного вирощування тепличних культур.
"	https://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-002.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-003.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-004.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-005.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-006.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-007.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-008.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-009.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-010.jpg	new	7845	7845	"Теплиці «Омега» з плівкою > Теплиці з плівкою"	https://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-020.png	"Теплиця «Омега» 3х8x2 з оцинкованого омега профілю з плівкою 120 мкм"		7845	"Home & Garden > Lawn & Garden > Gardening > Greenhouses"	"Теплиці «Омега» з плівкою > Теплиці з плівкою"	https://fabrika-teplic.com/ua/vitrina/teplyczya-omega-3h8x2-z-oczynkovanogo-omega-profilyu-z-plivkoyu-120-mkm/	"5100 UAH"	"in stock"	no
7847	"Зверніть увагу на товщину стінки профілю. Недобросовісні виробники вказують товщину 0,75 мм, а в дійсності використовують профіль товщиною 0,5 мм. Каркас наших теплиць зроблений з профілю з товщиною стінки 0,75 мм. При отриманні теплиці переміряйте товщину стінки профілю.
Вартість каркасу 3х8 м без плівки — 4 500 грн. Теплиця «Омега» з посиленим каркасом комплектується плівкою з УФ-захистом товщиною 150 мкм. Ширина каркаса — 3 м, довжина — 8 м, висота — 2 м. Вікна та двері є на обох сторонах теплиці, що забезпечує її максимальне провітрювання.
Посилений каркас теплиці з кроком 0,6 м витримує снігове навантаження до 40 кг/м кв., вітрову — 30 кг/м кв. Це дозволяє використовувати конструкцію для цілорічного вирощування тепличних культур.
"	https://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-002.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-003.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-004.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-005.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-006.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-007.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-008.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-009.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-010.jpg	new	7847	7847	"Теплиці «Омега» з плівкою > Теплиці з плівкою"	https://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-020.png	"Теплиця «Омега» 3x8x2 з оцинкованого омега профілю з плівкою 150 мкм"		7847	"Home & Garden > Lawn & Garden > Gardening > Greenhouses"	"Теплиці «Омега» з плівкою > Теплиці з плівкою"	https://fabrika-teplic.com/ua/vitrina/teplyczya-omega-3x8x2-z-oczynkovanogo-omega-profilyu-z-plivkoyu-150-mkm/	"5400 UAH"	"in stock"	no
7848	"Зверніть увагу на товщину стінки профілю. Недобросовісні виробники вказують товщину 0,75 мм, а в дійсності використовують профіль товщиною 0,5 мм. Каркас наших теплиць зроблений з профілю з товщиною стінки 0,75 мм. При отриманні теплиці переміряйте товщину стінки профілю.
Вартість каркасу 3х10 м без плівки — 5 600 грн. Теплиця «Омега» з посиленим каркасом комплектується плівкою з УФ-захистом товщиною 120 мкм. Ширина каркаса — 3 м, довжина — 10 м, висота — 2 м. Вікна та двері є на обох сторонах теплиці, що забезпечує її максимальне провітрювання.
Посилений каркас теплиці з кроком 0,6 м витримує снігове навантаження до 40 кг/м кв., вітрову — 30 кг/м кв. Це дозволяє використовувати конструкцію для цілорічного вирощування тепличних культур.
"	https://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-002.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-003.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-004.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-005.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-006.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-007.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-008.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-009.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-010.jpg	new	7848	7848	"Теплиці «Омега» з плівкою > Теплиці з плівкою"	https://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-020.png	"Теплиця «Омега» 3х10x2 з оцинкованого омега профілю з плівкою 120 мкм"		7848	"Home & Garden > Lawn & Garden > Gardening > Greenhouses"	"Теплиці «Омега» з плівкою > Теплиці з плівкою"	https://fabrika-teplic.com/ua/vitrina/teplyczya-omega-3h10x2-z-oczynkovanogo-omega-profilyu-z-plivkoyu-120-mkm/	"6250 UAH"	"in stock"	no
7850	"Зверніть увагу на товщину стінки профілю. Недобросовісні виробники вказують товщину 0,75 мм, а в дійсності використовують профіль товщиною 0,5 мм. Каркас наших теплиць зроблений з профілю з товщиною стінки 0,75 мм. При отриманні теплиці переміряйте товщину стінки профілю.
Вартість каркасу 3х10 м без плівки — 5 600 грн. Теплиця «Омега» з посиленим каркасом комплектується плівкою з УФ-захистом товщиною 150 мкм. Ширина каркаса — 3 м, довжина — 6 м, висота — 2 м. Вікна та двері є на обох сторонах теплиці, що забезпечує її максимальне провітрювання.
Посилений каркас теплиці з кроком 0,6 м витримує снігове навантаження до 40 кг/м кв., вітрову — 30 кг/м кв. Це дозволяє використовувати конструкцію для цілорічного вирощування тепличних культур.
"	https://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-002.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-003.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-004.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-005.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-006.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-007.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-008.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-009.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-010.jpg	new	7850	7850	"Теплиці «Омега» з плівкою > Теплиці з плівкою"	https://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-020.png	"Теплиця «Омега» 3x10x2 з оцинкованого омега профілю з плівкою 150 мкм"		7850	"Home & Garden > Lawn & Garden > Gardening > Greenhouses"	"Теплиці «Омега» з плівкою > Теплиці з плівкою"	https://fabrika-teplic.com/ua/vitrina/teplyczya-omega-3x10x2-z-oczynkovanogo-omega-profilyu-z-plivkoyu-150-mkm/	"6700 UAH"	"in stock"	no
7851	"Зверніть увагу на товщину стінки профілю. Недобросовісні виробники вказують товщину 0,75 мм, а в дійсності використовують профіль товщиною 0,5 мм. Каркас наших теплиць зроблений з профілю з товщиною стінки 0,75 мм. При отриманні теплиці переміряйте товщину стінки профілю.
Вартість каркасу 4х6 м без плівки — 4 500 грн. Теплиця «Омега» з посиленим каркасом комплектується плівкою з УФ-захистом товщиною 120 мкм. Ширина каркаса — 4 м, довжина — 6 м, висота — 2,2 м. Вікна та двері є на обох сторонах теплиці, що забезпечує її максимальне провітрювання.
Посилений каркас теплиці з кроком 0,6 м витримує снігове навантаження до 40 кг/м кв., вітрову — 30 кг/м кв. Це дозволяє використовувати конструкцію для цілорічного вирощування тепличних культур.
"	https://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-002.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-003.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-004.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-005.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-006.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-007.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-008.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-009.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-010.jpg	new	7851	7851	"Теплиці «Омега» з плівкою > Теплиці з плівкою"	https://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-020.png	"Теплиця «Омега» 4х6x2,2 з оцинкованого омега профілю з плівкою 120 мкм"		7851	"Home & Garden > Lawn & Garden > Gardening > Greenhouses"	"Теплиці «Омега» з плівкою > Теплиці з плівкою"	https://fabrika-teplic.com/ua/vitrina/teplyczya-omega-4h6x22-z-oczynkovanogo-omega-profilyu-z-plivkoyu-120-mkm/	"5450 UAH"	"in stock"	no
7853	"Зверніть увагу на товщину стінки профілю. Недобросовісні виробники вказують товщину 0,75 мм, а в дійсності використовують профіль товщиною 0,5 мм. Каркас наших теплиць зроблений з профілю з товщиною стінки 0,75 мм. При отриманні теплиці переміряйте товщину стінки профілю.
Вартість каркасу 4х6 м без плівки — 4 500 грн. Теплиця «Омега» з посиленим каркасом комплектується плівкою з УФ-захистом товщиною 150 мкм. Ширина каркаса — 4 м, довжина — 6 м, висота — 2,2 м. Вікна та двері є на обох сторонах теплиці, що забезпечує її максимальне провітрювання.
Посилений каркас теплиці з кроком 0,6 м витримує снігове навантаження до 40 кг/м кв., вітрову — 30 кг/м кв. Це дозволяє використовувати конструкцію для цілорічного вирощування тепличних культур.
"	https://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-002.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-003.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-004.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-005.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-006.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-007.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-008.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-009.jpg%2Chttps://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-010.jpg	new	7853	7853	"Теплиці «Омега» з плівкою > Теплиці з плівкою"	https://fabrika-teplic.com/ua/wp-content/uploads/sites/2/2020/02/tunel-folia-3x6-stal-ocynk-020.png	"Теплиця «Омега» 4х6x2,2 з оцинкованого омега профілю з плівкою 150 мкм"		7853	"Home & Garden > Lawn & Garden > Gardening > Greenhouses"	"Теплиці «Омега» з плівкою > Теплиці з плівкою"	https://fabrika-teplic.com/ua/vitrina/teplyczya-omega-4h6x22-z-oczynkovanogo-omega-profilyu-z-plivkoyu-150-mkm/	"6000 UAH"	"in stock"	no
