ID	description	additional_image_link	condition	mpn	custom_label_2	title	availability	price	link	image_link	brand	item_group_id	custom_label_0	google_product_category	product_type	adult
4743	"Каркас теплицы «Омега» изготовлен из открытого омега профиля с толщиной стенки 0,75 мм. Теплица выдерживает механические нагрузки около 30 кг/м кв. Один торец теплицы имеют дверь с форточкой, второй торец — форточку.
Обратите внимание на толщину стенки профиля. Недобросовестные производители указывают толщину 0,75 мм, а в действительности используют профиль толщиной 0,5 мм. Каркас наших теплиц изготовлен из профиля с толщиной стенки 0,75 мм.
Инструкции сборки
"	https://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-002.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-003.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-012.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-011.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-008.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-013.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-005.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-006.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-014.jpg	new	4743	"Теплицы > Теплицы «Омега» с пленкой > Теплицы с пленкой"	"Теплица «Омега» 3х6 из оцинкованного омега профиля с пленкой 120 мкм"	"in stock"	"4550 UAH"	https://fabrika-teplic.com/vitrina/teplicza-omega-3h6x2-iz-oczinkovannogo-omega-profilya-pod-plenku-120-mkm/	https://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-050.png	"Alistan Shop"	4743		"Home & Garden > Lawn & Garden > Gardening > Greenhouses"	"Теплицы > Теплицы «Омега» с пленкой > Теплицы с пленкой"	no
6285	"Каркас теплицы «Омега» изготовлен из открытого омега профиля с толщиной стенки 0,75 мм. Теплица выдерживает механические нагрузки около 40 кг/м кв. Один торец теплицы имеют дверь с форточкой, второй торец — форточку.
Обратите внимание на толщину стенки профиля. Недобросовестные производители указывают толщину 0,75 мм, а в действительности используют профиль толщиной 0,5 мм. Каркас наших теплиц изготовлен из профиля с толщиной стенки 0,75 мм.
Инструкции сборки
"	https://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-002.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-003.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-004.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-007.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-008.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-009.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-011.jpg	new	6285	"Теплицы > Теплицы «Омега» с пленкой > Теплицы с пленкой"	"Теплица «Омега» 2х4 из оцинкованного омега профиля с пленкой 120 мкм"	"in stock"	"3000 UAH"	https://fabrika-teplic.com/vitrina/teplicza-omega-2h4h2-iz-oczinkovannogo-omega-profilya-s-plenkoj-120-mkm/	https://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-021.png	"Alistan Shop"	6285		"Home & Garden > Lawn & Garden > Gardening > Greenhouses"	"Теплицы > Теплицы «Омега» с пленкой > Теплицы с пленкой"	no
6345	"Каркас теплицы «Омега» изготовлен из открытого омега профиля с толщиной стенки 0,75 мм. Теплица выдерживает механические нагрузки около 40 кг/м кв. Один торец теплицы имеют дверь с форточкой, второй торец — форточку.
Обратите внимание на толщину стенки профиля. Недобросовестные производители указывают толщину 0,75 мм, а в действительности используют профиль толщиной 0,5 мм. Каркас наших теплиц изготовлен из профиля с толщиной стенки 0,75 мм.
Инструкции сборки
"	https://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-002.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-003.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-004.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-007.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-008.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-009.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-011.jpg	new	6345	"Теплицы > Теплицы «Омега» с пленкой > Теплицы с пленкой"	"Теплица «Омега» 2х3 из оцинкованного омега профиля с пленкой 120 мкм"	"in stock"	"2600 UAH"	https://fabrika-teplic.com/vitrina/teplicza-omega-2h3h2-iz-oczinkovannogo-omega-profilya-pod-plenku-120-mkm/	https://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-021.png	"Alistan Shop"	6345		"Home & Garden > Lawn & Garden > Gardening > Greenhouses"	"Теплицы > Теплицы «Омега» с пленкой > Теплицы с пленкой"	false
6347	"Каркас теплицы «Омега» изготовлен из открытого омега профиля с толщиной стенки 0,75 мм. Теплица выдерживает механические нагрузки около 30 кг/м кв. Один торец теплицы имеют дверь с форточкой, второй торец — форточку.
Обратите внимание на толщину стенки профиля. Недобросовестные производители указывают толщину 0,75 мм, а в действительности используют профиль толщиной 0,5 мм. Каркас наших теплиц изготовлен из профиля с толщиной стенки 0,75 мм.
Инструкции сборки
"	https://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-002.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-003.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-012.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-011.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-008.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-013.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-005.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-006.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-014.jpg	new	6347	"Теплицы > Теплицы «Омега» с пленкой > Теплицы с пленкой"	"Теплица «Омега» 3х4 из оцинкованного омега профиля с пленкой 120 мкм"	"in stock"	"3350 UAH"	https://fabrika-teplic.com/vitrina/teplicza-omega-3x4x2-iz-oczinkovannogo-omega-profilya-pod-plenku-120-mkm/	https://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-050.png	"Alistan Shop"	6347		"Home & Garden > Lawn & Garden > Gardening > Greenhouses"	"Теплицы > Теплицы «Омега» с пленкой > Теплицы с пленкой"	no
6350	"Каркас теплицы «Омега» изготовлен из открытого омега профиля с толщиной стенки 0,75 мм. Теплица выдерживает механические нагрузки около 30 кг/м кв. Один торец теплицы имеют дверь с форточкой, второй торец — форточку.
Обратите внимание на толщину стенки профиля. Недобросовестные производители указывают толщину 0,75 мм, а в действительности используют профиль толщиной 0,5 мм. Каркас наших теплиц изготовлен из профиля с толщиной стенки 0,75 мм.
Инструкции сборки
"	https://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-002.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-003.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-012.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-011.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-008.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-013.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-005.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-006.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-014.jpg	new	6350	"Теплицы > Теплицы «Омега» с пленкой > Теплицы с пленкой"	"Теплица «Омега» 3х8 из оцинкованного омега профиля с пленкой 120 мкм"	"in stock"	"5050 UAH"	https://fabrika-teplic.com/vitrina/teplicza-omega-3h8x2-iz-oczinkovannogo-omega-profilya-pod-plenku-120-mkm/	https://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-020.png	"Alistan Shop"	6350		"Home & Garden > Lawn & Garden > Gardening > Greenhouses"	"Теплицы > Теплицы «Омега» с пленкой > Теплицы с пленкой"	no
6352	"Каркас теплицы «Омега» изготовлен из открытого омега профиля с толщиной стенки 0,75 мм. Теплица выдерживает механические нагрузки около 30 кг/м кв. Один торец теплицы имеют дверь с форточкой, второй торец — форточку.
Обратите внимание на толщину стенки профиля. Недобросовестные производители указывают толщину 0,75 мм, а в действительности используют профиль толщиной 0,5 мм. Каркас наших теплиц изготовлен из профиля с толщиной стенки 0,75 мм.
Инструкции сборки
"	https://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-002.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-003.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-012.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-011.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-008.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-013.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-005.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-006.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-014.jpg	new	6352	"Теплицы > Теплицы «Омега» с пленкой > Теплицы с пленкой"	"Теплица «Омега» 3х10 из оцинкованного омега профиля с пленкой 120 мкм"	"in stock"	"6250 UAH"	https://fabrika-teplic.com/vitrina/teplicza-omega-3h10x2-iz-oczinkovannogo-omega-profilya-pod-plenku-120-mkm/	https://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-020.png	"Alistan Shop"	6352		"Home & Garden > Lawn & Garden > Gardening > Greenhouses"	"Теплицы > Теплицы «Омега» с пленкой > Теплицы с пленкой"	no
6916	"Каркас теплицы «Омега» изготовлен из открытого омега профиля с толщиной стенки 0,75 мм. Теплица выдерживает механические нагрузки около 40 кг/м кв. Один торец теплицы имеют дверь с форточкой, второй торец — форточку.
Обратите внимание на толщину стенки профиля. Недобросовестные производители указывают толщину 0,75 мм, а в действительности используют профиль толщиной 0,5 мм. Каркас наших теплиц изготовлен из профиля с толщиной стенки 0,75 мм.
Инструкции сборки
"	https://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-002.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-003.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-004.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-007.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-008.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-009.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-011.jpg	new	6916	"Теплицы > Теплицы «Омега» с пленкой > Теплицы с пленкой"	"Теплица «Омега» 2х3 из оцинкованного омега профиля с пленкой 150 мкм"	"in stock"	"2750 UAH"	https://fabrika-teplic.com/vitrina/teplicza-omega-2h3h2-iz-oczinkovannogo-omega-profilya-pod-plenku-150-mkm/	https://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-021.png	"Alistan Shop"	6916		"Home & Garden > Lawn & Garden > Gardening > Greenhouses"	"Теплицы > Теплицы «Омега» с пленкой > Теплицы с пленкой"	no
6917	"Каркас теплицы «Омега» изготовлен из открытого омега профиля с толщиной стенки 0,75 мм. Теплица выдерживает механические нагрузки около 40 кг/м кв. Один торец теплицы имеют дверь с форточкой, второй торец — форточку.
Обратите внимание на толщину стенки профиля. Недобросовестные производители указывают толщину 0,75 мм, а в действительности используют профиль толщиной 0,5 мм. Каркас наших теплиц изготовлен из профиля с толщиной стенки 0,75 мм.
Инструкции сборки
"	https://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-002.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-003.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-004.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-007.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-008.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-009.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-011.jpg	new	6917	"Теплицы > Теплицы «Омега» с пленкой > Теплицы с пленкой"	"Теплица «Омега» 2х4 из оцинкованного омега профиля с пленкой 150 мкм"	"in stock"	"3150 UAH"	https://fabrika-teplic.com/vitrina/teplicza-omega-2h4h2-iz-oczinkovannogo-omega-profilya-s-plenkoj-150-mkm/	https://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-021.png	"Alistan Shop"	6917		"Home & Garden > Lawn & Garden > Gardening > Greenhouses"	"Теплицы > Теплицы «Омега» с пленкой > Теплицы с пленкой"	no
6918	"Каркас теплицы «Омега» изготовлен из открытого омега профиля с толщиной стенки 0,75 мм. Теплица выдерживает механические нагрузки около 30 кг/м кв. Один торец теплицы имеют дверь с форточкой, второй торец — форточку.
Обратите внимание на толщину стенки профиля. Недобросовестные производители указывают толщину 0,75 мм, а в действительности используют профиль толщиной 0,5 мм. Каркас наших теплиц изготовлен из профиля с толщиной стенки 0,75 мм.
Инструкции сборки
"	https://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-002.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-003.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-012.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-011.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-008.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-013.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-005.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-006.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-014.jpg	new	6918	"Теплицы > Теплицы «Омега» с пленкой > Теплицы с пленкой"	"Теплица «Омега» 3х4 из оцинкованного омега профиля с пленкой 150 мкм"	"in stock"	"3550 UAH"	https://fabrika-teplic.com/vitrina/teplicza-omega-3h4x2-iz-oczinkovannogo-omega-profilya-pod-plenku-150-mkm/	https://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-020.png	"Alistan Shop"	6918		"Home & Garden > Lawn & Garden > Gardening > Greenhouses"	"Теплицы > Теплицы «Омега» с пленкой > Теплицы с пленкой"	no
6919	"Каркас теплицы «Омега» изготовлен из открытого омега профиля с толщиной стенки 0,75 мм. Теплица выдерживает механические нагрузки около 30 кг/м кв. Один торец теплицы имеют дверь с форточкой, второй торец — форточку.
Обратите внимание на толщину стенки профиля. Недобросовестные производители указывают толщину 0,75 мм, а в действительности используют профиль толщиной 0,5 мм. Каркас наших теплиц изготовлен из профиля с толщиной стенки 0,75 мм.
Инструкции сборки
"	https://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-002.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-003.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-012.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-011.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-008.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-013.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-005.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-006.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-014.jpg	new	6919	"Теплицы > Теплицы «Омега» с пленкой > Теплицы с пленкой"	"Теплица «Омега» 3х6 из оцинкованного омега профиля с пленкой 150 мкм"	"in stock"	"4750 UAH"	https://fabrika-teplic.com/vitrina/teplicza-omega-3h6x2-iz-oczinkovannogo-omega-profilya-pod-plenku-150-mkm/	https://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-020.png	"Alistan Shop"	6919		"Home & Garden > Lawn & Garden > Gardening > Greenhouses"	"Теплицы > Теплицы «Омега» с пленкой > Теплицы с пленкой"	no
