ID	description	additional_image_link	condition	gtin	mpn	image_link	title	custom_label_0	item_group_id	google_product_category	product_type	link	price	availability
4743	"Теплица «Омега» 3х6х2 м включает усиленный каркас и светостабилизационную пленку толщиной 120 мкм. Ширина каркаса — 3 м, длина — 6 м, высота — 2 м. Окна и двери имеются на обеих торцах тепличной конструкции.
Усиленный каркас теплицы выдерживает снеговую нагрузку до 40 кг/м кв., ветровую — 30 кг/м кв. Это позволяет использовать конструкцию для круглогодичного выращивания тепличных культур.
Теплица «Омега» размером 3х6 м с усиленным оцинкованным каркасом, укомплектованная тепличной пленкой — лучшее решение для дачи или загородного дома. Для наших клиентов — доступная стоимость от производителя и консультация специалиста по сборке и установке теплицы.
"	https://ua.alistan-shop.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-002.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-003.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-004.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-005.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-006.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-007.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-008.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-009.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-010.jpg	new	4743	4743	https://ua.alistan-shop.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-020.png	"Теплица «Омега» 3х6x2 из оцинкованного омега профиля под пленку 120 мкм"		4743	"Home & Garden > Lawn & Garden > Gardening > Greenhouses"	"Теплицы ""Омега"" с пленкой > Теплицы с пленкой"	https://ua.alistan-shop.com/vitrina/teplicza-omega-3h6x2-iz-oczinkovannogo-omega-profilya-pod-plenku-120-mkm/	"4250 UAH"	"in stock"
4812	"Каркас теплицы «Омега» 3х6х2 изготовлен из оцинкованного открытого профиля Omega (лист в форме волнистой буквы «M»). Толщина стенки стального профиля составляет 0,75 мм. Расстояние между арками (шаг) &#8212; 0,60 см, количество продольных полос &#8212; 9 шт. Усиленный каркас выдерживает нагрузку до 50 кг/м 2. Прочная и надежная теплица по низкой цене от производителя является лучшим решением в этом ценовом диапазоне.
Для покрытия теплицы используется инновационный материал — сотовый поликарбонат толщиной 6 мм, который характеризуется отличными прочностными характеристиками.
"	https://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-3x6-stal-ocynk-004.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-3x6-stal-ocynk-005.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-3x6-stal-ocynk-006.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-3x6-stal-ocynk-007.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-3x6-stal-ocynk-008.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-3x6-stal-ocynk-009.jpg	new	4812	4812	https://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-3x6-stal-ocynk-020.png	"Теплица «Омега» 3х6х2 из оцинкованного омега профиля с поликарбонатом Soton Nano 6 мм"		4812	"Home & Garden > Lawn & Garden > Gardening > Greenhouses"	"Теплицы ""Омега"" с поликарбонатом > Теплицы с поликарбонатом"	https://ua.alistan-shop.com/vitrina/teplicza-omega-3h6h2-iz-oczinkovannogo-omega-profilya-pod-polikarbonat-6-mm/	"11700 UAH"	"in stock"
6265	"Каркас теплицы премиум-класса «Стандарт» изготовлен из стальной профильной квадратной трубы 20&#215;20 мм. Покрытие цинком обеспечивает антикоррозийность и длительный срок службы металла. Гарантийный срок эксплуатации надежного каркаса из нержавеющей стали &#8212; 15 лет.
Каркас имеет дополнительное усиление, благодаря которым тепличная конструкция выдерживает значительные механические нагрузки. Это армирующие диагональные усиления с обеих сторон в нижней части торцов и усиленные оцинкованные балки в верхней части каждой арки.
Характеристики теплицы «Стандарт» &#8212; толщина стенки оцинкованного профиля &#8212; 1,2 мм, расстояние между арками 1 м, прочность 200 кг/м2. Отличные прочностные характеристики и выгодная цена от производителя делает эту теплицу лучшим решением для выращивания тепличных культур на загородном участке.
"	https://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-3x6-rura-002.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-3x6-rura-003.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-3x6-rura-004.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-3x6-rura-005.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-3x6-rura-006.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-3x6-rura-007.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-3x6-rura-008.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-3x6-rura-009.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-3x6-rura-010.jpg	new	6265	6265	https://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-3x6-rura-020.png	"Теплица «Стандарт» 3х6х2 из оцинкованной квадратной трубы с поликарбонатом Soton Nano"		6265	"Home & Garden > Lawn & Garden > Gardening > Greenhouses"	"Теплицы ""Стандарт"" > Теплицы с поликарбонатом"	https://ua.alistan-shop.com/vitrina/teplicza-standart-3x6x2-iz-oczinkovannoj-kvadratnoj-truby-pod-polikarbonat-6-mm/	"13050 UAH"	"in stock"
6285	"Теплица «Омега» 2х4 м включает усиленный каркас и светостабилизационную пленку толщиной 120 мкм. Ширина каркаса — 2 м, длина — 4 м, высота — 2 м. Окна и двери имеются на обеих торцах тепличной конструкции.
Усиленный каркас теплицы выдерживает снеговую нагрузку до 40 кг/м кв., ветровую — 30 кг/м кв. Это позволяет использовать конструкцию для круглогодичного выращивания тепличных культур.
Теплица «Омега» размером 2х4 м с усиленным оцинкованным каркасом, укомплектованная тепличной пленкой — лучшее решение для дачи или загородного дома. Для наших клиентов — доступная стоимость от производителя и консультация специалиста по сборке и установке теплицы.
"	https://ua.alistan-shop.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-002.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-003.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-004.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-007.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-008.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-009.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-011.jpg	new	6285	6285	https://ua.alistan-shop.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-021.png	"Теплица «Омега» 2х4х2 из оцинкованного омега профиля с пленкой 120 мкм"		6285	"Home & Garden > Lawn & Garden > Gardening > Greenhouses"	"Теплицы ""Омега"" с пленкой > Теплицы с пленкой"	https://ua.alistan-shop.com/vitrina/teplicza-omega-2h4h2-iz-oczinkovannogo-omega-profilya-s-plenkoj-120-mkm/	"2950 UAH"	"in stock"
6301	"Каркас теплицы «Омега» 2х4х2 изготовлен из оцинкованного открытого профиля Omega (лист в форме волнистой буквы «M»). Толщина стенки стального профиля составляет 0,75 мм. Расстояние между арками (шаг) &#8212; 0,60 см, количество продольных полос &#8212; 7 шт. Усиленный каркас выдерживает нагрузку до 50 кг/м 2. Прочная и надежная теплица по низкой цене от производителя является лучшим решением в этом ценовом диапазоне.
Для покрытия теплицы используется инновационный материал — сотовый поликарбонат толщиной 4 мм, который характеризуется отличными прочностными характеристиками.
"	https://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-2x4-stal-ocynk-004.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-2x4-stal-ocynk-005.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-2x4-stal-ocynk-006.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-2x4-stal-ocynk-007.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-2x4-stal-ocynk-008.jpg	new	6301	6301	https://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-2x4-stal-ocynk-009.png	"Теплица «Омега» 2х4х2 из оцинкованного омега профиля с поликарбонатом Soton Nano 4 мм"		6301	"Home & Garden > Lawn & Garden > Gardening > Greenhouses"	"Теплицы ""Омега"" с поликарбонатом > Теплицы с поликарбонатом"	https://ua.alistan-shop.com/vitrina/teplicza-omega-2h4h2-iz-oczinkovannogo-omega-profilya-s-polikarbonatom-soton-nano-4-mm/	"5400 UAH"	"in stock"
6319	"Каркас теплицы премиум-класса «Стандарт » изготовлен из стальной профильной квадратной трубы 20&#215;20 мм. Покрытие цинком обеспечивает антикоррозийность и длительный срок службы металла. Гарантийный срок эксплуатации надежного каркаса из нержавеющей стали &#8212; 15 лет.
Каркас имеет дополнительное усиление, благодаря которым тепличная конструкция выдерживает значительные механические нагрузки. Это армирующие диагональные усиления с обеих сторон в нижней части торцов и усиленные оцинкованные балки в верхней части каждой арки.
Характеристики теплицы «Стандарт» &#8212; толщина стенки оцинкованного профиля &#8212; 1,2 мм, расстояние между арками 1 м, прочность 200 кг/м2. Отличные прочностные характеристики и выгодная цена от производителя делает эту теплицу лучшим решением для выращивания тепличных культур на загородном участке.
"	https://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-4x6-rura-004.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-4x6-rura-005.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-4x6-rura-007.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-4x6-rura-009.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-4x6-rura-010.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-4x6-rura-011.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-4x6-rura-013.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-4x6-rura-014.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-4x6-rura-015.jpg	new	6319	6319	https://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-4x6-rura-020.png	"Теплица «Стандарт» 4х6х2,2 из оцинкованной квадратной трубы с поликарбонатом Soton"		6319	"Home & Garden > Lawn & Garden > Gardening > Greenhouses"	"Теплицы ""Стандарт"" > Теплицы с поликарбонатом"	https://ua.alistan-shop.com/vitrina/teplicza-standart-4x6x22-iz-oczinkovannoj-kvadratnoj-truby-pod-polikarbonat-4-mm/	"14750 UAH"	"in stock"
6341	"Каркас теплицы «Омега» 2х4х2 изготовлен из оцинкованного открытого профиля Omega (лист в форме волнистой буквы «M»). Толщина стенки стального профиля составляет 0,75 мм. Расстояние между арками (шаг) &#8212; 0,60 см, количество продольных полос &#8212; 7 шт. Усиленный каркас выдерживает нагрузку до 50 кг/м 2. Прочная и надежная теплица по низкой цене от производителя является лучшим решением в этом ценовом диапазоне.
Для покрытия теплицы используется инновационный материал — сотовый поликарбонат толщиной 6 мм, который характеризуется отличными прочностными характеристиками.
"	https://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-2x4-stal-ocynk-004.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-2x4-stal-ocynk-005.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-2x4-stal-ocynk-006.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-2x4-stal-ocynk-007.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-2x4-stal-ocynk-008.jpg	new	6341	6341	https://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-2x4-stal-ocynk-009.png	"Теплица «Омега» 2х4х2 из оцинкованного омега профиля с поликарбонатом Soton Nano 6 мм"		6341	"Home & Garden > Lawn & Garden > Gardening > Greenhouses"	"Теплицы ""Омега"" с поликарбонатом > Теплицы с поликарбонатом"	https://ua.alistan-shop.com/vitrina/teplicza-omega-2h4h2-iz-oczinkovannogo-omega-profilya-pod-polikarbonat-6-mm/	"7650 UAH"	"in stock"
6342	"Каркас теплицы «Омега» 2х3х2 изготовлен из оцинкованного открытого профиля Omega (лист в форме волнистой буквы «M»). Толщина стенки стального профиля составляет 0,75 мм. Расстояние между арками (шаг) &#8212; 0,60 см, количество продольных полос &#8212; 7 шт. Усиленный каркас выдерживает нагрузку до 50 кг/м 2. Прочная и надежная теплица по низкой цене от производителя является лучшим решением в этом ценовом диапазоне.
Для покрытия теплицы используется инновационный материал — сотовый поликарбонат толщиной 4 мм, который характеризуется отличными прочностными характеристиками.
"	https://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-2x4-stal-ocynk-004.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-2x4-stal-ocynk-005.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-2x4-stal-ocynk-006.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-2x4-stal-ocynk-007.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-2x4-stal-ocynk-008.jpg	new	6342	6342	https://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-2x4-stal-ocynk-009.png	"Теплица «Омега» 2х3х2 из оцинкованного омега профиля с поликарбонатом Soton Nano 4 мм"		6342	"Home & Garden > Lawn & Garden > Gardening > Greenhouses"	"Теплицы ""Омега"" с поликарбонатом > Теплицы с поликарбонатом"	https://ua.alistan-shop.com/vitrina/teplicza-omega-2h3h2-iz-oczinkovannogo-omega-profilya-pod-polikarbonat-4-mm/	"4450 UAH"	"in stock"
6344	"Каркас теплицы «Омега» 2х3х2 изготовлен из оцинкованного открытого профиля Omega (лист в форме волнистой буквы «M»). Толщина стенки стального профиля составляет 0,75 мм. Расстояние между арками (шаг) &#8212; 0,60 см, количество продольных полос &#8212; 7 шт. Усиленный каркас выдерживает нагрузку до 50 кг/м 2. Прочная и надежная теплица по низкой цене от производителя является лучшим решением в этом ценовом диапазоне.
Для покрытия теплицы используется инновационный материал — сотовый поликарбонат толщиной 6 мм, который характеризуется отличными прочностными характеристиками.
"	https://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-2x4-stal-ocynk-004.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-2x4-stal-ocynk-005.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-2x4-stal-ocynk-006.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-2x4-stal-ocynk-007.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-2x4-stal-ocynk-008.jpg	new	6344	6344	https://ua.alistan-shop.com/wp-content/uploads/tunel-poliweglan-2x4-stal-ocynk-009.png	"Теплица «Омега» 2х3х2 из оцинкованного омега профиля с поликарбонатом Soton Nano 6 мм"		6344	"Home & Garden > Lawn & Garden > Gardening > Greenhouses"	"Теплицы ""Омега"" с поликарбонатом > Теплицы с поликарбонатом"	https://ua.alistan-shop.com/vitrina/teplicza-omega-2h3h2-iz-oczinkovannogo-omega-profilya-pod-polikarbonat-6-mm/	"6250 UAH"	"in stock"
6345	"Теплица «Омега» 2х3 м включает усиленный каркас и светостабилизационную пленку толщиной 120 мкм. Ширина каркаса &#8212; 2 м, длина &#8212; 3 м, высота &#8212; 2 м. Окна и двери имеются на обеих торцах тепличной конструкции.
Усиленный каркас теплицы выдерживает снеговую нагрузку до 40 кг/м кв., ветровую &#8212; 30 кг/м кв. Это позволяет использовать конструкцию для круглогодичного выращивания тепличных культур.
Теплица «Омега» размером 2х3 м с усиленным оцинкованным каркасом, укомплектованная тепличной пленкой — лучшее решение для дачи или загородного дома. Для наших клиентов &#8212; доступная стоимость от производителя и консультация специалиста по сборке и установке теплицы.
"	https://ua.alistan-shop.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-002.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-003.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-004.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-007.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-008.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-009.jpg%2Chttps://ua.alistan-shop.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-011.jpg	new	6345	6345	https://ua.alistan-shop.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-021.png	"Теплица «Омега» 2х3х2 из оцинкованного омега профиля под пленку 120 мкм"		6345	"Home & Garden > Lawn & Garden > Gardening > Greenhouses"	"Теплицы ""Омега"" с пленкой > Теплицы с пленкой"	https://ua.alistan-shop.com/vitrina/teplicza-omega-2h3h2-iz-oczinkovannogo-omega-profilya-pod-plenku-120-mkm/	"2500 UAH"	"in stock"
